,GDP_trend,debt,bank_rate,inflation
316,-0.700861399296,59.6452714786,7.0,6.51862464183
317,0.311735107192,56.2587803321,5.0,9.41492938803
318,1.7979381076,52.0926676623,9.0,7.19114935464
319,6.01793662003,48.2588041784,13.0,9.34633027523
320,1.52843800688,53.2433560671,11.5,15.7315154693
321,-1.96664459129,53.7613169084,11.25,22.7004984141
322,-0.924100168351,52.4087183856,14.25,15.6573116691
323,-0.320267591169,49.1538926606,7.0,14.9425287356
324,1.39706661048,46.6972432406,12.5,7.47222222222
325,2.92841603201,43.6307552867,17.0,11.3724476609
326,-0.924873132253,42.5385335764,14.0,15.1543281504
327,-3.62081430368,42.5075560188,14.5,11.8097541314
328,-3.6537992339,41.2725214558,10.25,8.11103100216
329,-1.9615679198,40.4382355728,9.0,4.93497832611
330,-2.54938342865,41.0279841083,9.75,4.25802351446
331,-0.825241628177,39.0911021062,11.5,4.92227979275
332,-0.77753256474,37.4816173573,11.0,3.32607116921
333,1.5977304662,33.9955545181,8.5,3.20494798988
334,4.4288167726,28.4814095837,13.0,3.7591936802
335,4.43510597327,25.0009434365,15.0,5.23759516934
336,2.79863689475,22.820660783,14.0,6.97268304852
337,-0.286859653714,23.2185425435,10.5,7.53264925373
338,-2.14821319451,26.7311437462,7.0,4.26154847105
339,-1.94827394603,30.9712635722,5.5,2.50650026001
340,-0.893431454512,34.9271347706,6.25,1.97849025974
341,-1.29014371577,37.482997588,6.5,2.65645209432
342,-1.59467316927,38.2909620338,6.0,2.40030842731
343,-1.45533394296,38.7706301825,7.25,1.82460627109
344,-0.935111961735,36.8455628231,6.25,1.5573975193
345,-0.363951264239,35.2720560514,5.5,1.32871030673
346,0.597950150177,30.309114106,6.0,0.796456393088
347,0.333237064667,29.3331548535,4.0,1.23351199518
348,-0.145312639701,30.5035082872,4.0,1.25891295879
349,0.920567316373,31.6793687306,3.75,1.36159266301
350,1.00503600879,34.6010419397,4.75,1.34352304049
351,2.26370793573,35.9706754179,4.5,2.05694376395
352,2.98942046428,36.5611372011,5.0,2.32871246567
353,4.01525475496,37.2267112595,5.5,2.32284162349
354,2.34681958409,47.0512423829,2.0,3.60191553314
355,-3.43101716018,61.2783892162,0.5,2.1653204511
356,-2.49270978597,71.818366245,0.5,3.29817157577
357,-2.06557161271,75.6322338869,0.5,4.46369329407
358,-2.01547560624,80.0217785324,0.5,2.82824209909
359,-1.64165749785,83.0438449197,0.5,2.56479882153
360,0.567586174922,84.9556648084,0.5,1.46103140883
